date,symbol,iv_1W,iv_1M,iv_3M,iv_6M,iv_1Y
2023-01-16,AUDUSD,10.52,11.05,11.58,11.91,12.34
2023-01-16,EURUSD,7.15,7.52,7.89,8.12,8.41
2023-01-16,GBPUSD,8.58,9.02,9.47,9.74,10.09
2023-01-16,USDCNH,6.21,6.53,6.85,7.05,7.30
2023-01-16,USDJPY,10.03,10.55,11.07,11.39,11.80
2023-01-17,AUDUSD,10.61,11.15,11.68,12.02,12.45
2023-01-17,EURUSD,7.22,7.59,7.97,8.20,8.49
2023-01-17,GBPUSD,8.67,9.12,9.57,9.85,10.20
2023-01-17,USDCNH,6.28,6.60,6.93,7.13,7.38
2023-01-17,USDJPY,10.12,10.64,11.17,11.49,11.91
2023-01-18,AUDUSD,10.48,11.02,11.55,11.88,12.31
2023-01-18,EURUSD,7.08,7.44,7.82,8.04,8.33
2023-01-18,GBPUSD,8.52,8.96,9.41,9.68,10.02
2023-01-18,USDCNH,6.15,6.47,6.79,6.98,7.23
2023-01-18,USDJPY,9.95,10.46,10.98,11.30,11.70
2023-01-19,AUDUSD,10.69,11.24,11.77,12.12,12.56
2023-01-19,EURUSD,7.31,7.68,8.06,8.30,8.59
2023-01-19,GBPUSD,8.77,9.22,9.68,9.96,10.31
2023-01-19,USDCNH,6.37,6.70,7.03,7.24,7.49
2023-01-19,USDJPY,10.24,10.77,11.30,11.63,12.05
2023-01-20,AUDUSD,10.85,11.40,11.95,12.30,12.74
2023-01-20,EURUSD,7.42,7.80,8.19,8.43,8.73
2023-01-20,GBPUSD,8.91,9.37,9.83,10.12,10.48
2023-01-20,USDCNH,6.48,6.82,7.15,7.36,7.62
2023-01-20,USDJPY,10.38,10.91,11.45,11.78,12.21
2023-01-23,AUDUSD,11.21,11.79,12.36,12.72,13.18
2023-01-23,EURUSD,7.68,8.08,8.48,8.73,9.04
2023-01-23,GBPUSD,9.22,9.69,10.17,10.47,10.84
2023-01-23,USDCNH,6.72,7.07,7.42,7.64,7.91
2023-01-23,USDJPY,10.71,11.26,11.82,12.17,12.61
2023-01-24,AUDUSD,11.08,11.65,12.22,12.58,13.03
2023-01-24,EURUSD,7.55,7.94,8.34,8.58,8.89
2023-01-24,GBPUSD,9.06,9.53,10.00,10.30,10.66
2023-01-24,USDCNH,6.59,6.93,7.27,7.49,7.75
2023-01-24,USDJPY,10.55,11.09,11.64,11.98,12.42
2023-01-25,AUDUSD,10.95,11.51,12.07,12.43,12.88
2023-01-25,EURUSD,7.44,7.83,8.22,8.46,8.76
2023-01-25,GBPUSD,8.93,9.39,9.86,10.14,10.50
2023-01-25,USDCNH,6.48,6.81,7.15,7.36,7.62
2023-01-25,USDJPY,10.41,10.95,11.49,11.83,12.26
2023-01-26,AUDUSD,10.78,11.33,11.88,12.23,12.67
2023-01-26,EURUSD,7.30,7.68,8.06,8.30,8.59
2023-01-26,GBPUSD,8.76,9.21,9.67,9.95,10.30
2023-01-26,USDCNH,6.35,6.68,7.01,7.21,7.47
2023-01-26,USDJPY,10.24,10.77,11.30,11.63,12.05
2023-01-27,AUDUSD,10.92,11.48,12.04,12.40,12.84
2023-01-27,EURUSD,7.42,7.80,8.19,8.43,8.73
2023-01-27,GBPUSD,8.90,9.36,9.83,10.11,10.47
2023-01-27,USDCNH,6.47,6.81,7.14,7.35,7.61
2023-01-27,USDJPY,10.38,10.91,11.45,11.79,12.21
2023-01-30,AUDUSD,11.15,11.72,12.29,12.66,13.11
2023-01-30,EURUSD,7.62,8.01,8.41,8.66,8.96
2023-01-30,GBPUSD,9.14,9.61,10.09,10.39,10.75
2023-01-30,USDCNH,6.65,6.99,7.34,7.56,7.82
2023-01-30,USDJPY,10.61,11.16,11.71,12.06,12.49
2023-01-31,AUDUSD,11.32,11.90,12.48,12.85,13.31
2023-01-31,EURUSD,7.76,8.16,8.57,8.82,9.13
2023-01-31,GBPUSD,9.31,9.79,10.28,10.58,10.96
2023-01-31,USDCNH,6.79,7.14,7.49,7.71,7.99
2023-01-31,USDJPY,10.78,11.33,11.89,12.24,12.68
2023-02-01,AUDUSD,11.18,11.76,12.33,12.70,13.16
2023-02-01,EURUSD,7.64,8.03,8.44,8.68,8.99
2023-02-01,GBPUSD,9.16,9.63,10.12,10.41,10.78
2023-02-01,USDCNH,6.67,7.02,7.37,7.58,7.85
2023-02-01,USDJPY,10.64,11.18,11.74,12.08,12.52
2023-02-02,AUDUSD,11.45,12.04,12.63,13.00,13.47
2023-02-02,EURUSD,7.85,8.25,8.67,8.92,9.24
2023-02-02,GBPUSD,9.42,9.90,10.40,10.70,11.08
2023-02-02,USDCNH,6.86,7.21,7.57,7.79,8.07
2023-02-02,USDJPY,10.91,11.47,12.04,12.39,12.84
2023-02-03,AUDUSD,11.68,12.28,12.88,13.26,13.74
2023-02-03,EURUSD,8.02,8.43,8.86,9.11,9.43
2023-02-03,GBPUSD,9.62,10.12,10.62,10.93,11.32
2023-02-03,USDCNH,7.01,7.37,7.74,7.97,8.25
2023-02-03,USDJPY,11.11,11.68,12.26,12.62,13.07
2023-02-06,AUDUSD,11.55,12.15,12.74,13.12,13.59
2023-02-06,EURUSD,7.91,8.32,8.73,8.99,9.31
2023-02-06,GBPUSD,9.49,9.98,10.48,10.79,11.17
2023-02-06,USDCNH,6.90,7.26,7.62,7.84,8.12
2023-02-06,USDJPY,10.98,11.54,12.11,12.47,12.92
