Date,Open,High,Low,Close,Volume
2024-07-01,1.2645,1.2685,1.2638,1.2672,0
2024-07-02,1.2672,1.2712,1.2665,1.2705,0
2024-07-03,1.2705,1.2748,1.2698,1.2738,0
2024-07-05,1.2738,1.2778,1.2728,1.2768,0
2024-07-08,1.2768,1.2805,1.2755,1.2792,0
2024-07-09,1.2792,1.2832,1.2782,1.2818,0
2024-07-10,1.2818,1.2858,1.2808,1.2845,0
2024-07-11,1.2845,1.2885,1.2835,1.2872,0
2024-07-12,1.2872,1.2912,1.2862,1.2898,0
2024-07-15,1.2898,1.2938,1.2888,1.2925,0
2024-07-16,1.2925,1.2965,1.2915,1.2952,0
2024-07-17,1.2952,1.2992,1.2942,1.2978,0
2024-07-18,1.2978,1.3015,1.2965,1.2998,0
2024-07-19,1.2998,1.3035,1.2985,1.3018,0
2024-07-22,1.3018,1.3052,1.3005,1.3035,0
2024-07-23,1.3035,1.3068,1.3022,1.3052,0
2024-07-24,1.3052,1.3085,1.3038,1.3068,0
2024-07-25,1.3068,1.3098,1.3055,1.3082,0
2024-07-26,1.3082,1.3112,1.3068,1.3095,0
2024-07-29,1.3095,1.3125,1.3082,1.3108,0
2024-07-30,1.3108,1.3138,1.3095,1.3122,0
2024-07-31,1.3122,1.3152,1.3108,1.3135,0
2024-08-01,1.3135,1.3162,1.3118,1.3145,0
2024-08-02,1.3145,1.3172,1.3128,1.3155,0
2024-08-05,1.3155,1.3182,1.3138,1.3165,0
2024-08-06,1.3165,1.3192,1.3148,1.3175,0
2024-08-07,1.3175,1.3202,1.3158,1.3185,0
2024-08-08,1.3185,1.3212,1.3168,1.3195,0
2024-08-09,1.3195,1.3222,1.3178,1.3205,0
2024-08-12,1.3205,1.3232,1.3188,1.3215,0
2024-08-13,1.3215,1.3242,1.3198,1.3225,0
2024-08-14,1.3225,1.3252,1.3208,1.3235,0
2024-08-15,1.3235,1.3262,1.3218,1.3245,0
2024-08-16,1.3245,1.3272,1.3228,1.3255,0
2024-08-19,1.3255,1.3282,1.3238,1.3265,0
2024-08-20,1.3265,1.3292,1.3248,1.3275,0
2024-08-21,1.3275,1.3302,1.3258,1.3285,0
2024-08-22,1.3285,1.3312,1.3268,1.3295,0
2024-08-23,1.3295,1.3322,1.3278,1.3305,0
2024-08-26,1.3305,1.3332,1.3288,1.3315,0
2024-08-27,1.3315,1.3342,1.3298,1.3325,0
2024-08-28,1.3325,1.3352,1.3308,1.3335,0
2024-08-29,1.3335,1.3358,1.3315,1.3342,0
2024-08-30,1.3342,1.3365,1.3322,1.3348,0
2024-09-02,1.3348,1.3368,1.3325,1.3352,0
2024-09-03,1.3352,1.3372,1.3328,1.3355,0
2024-09-04,1.3355,1.3375,1.3332,1.3348,0
2024-09-05,1.3348,1.3368,1.3322,1.3335,0
2024-09-06,1.3335,1.3355,1.3308,1.3322,0
2024-09-09,1.3322,1.3342,1.3295,1.3308,0
2024-09-10,1.3308,1.3328,1.3282,1.3295,0
2024-09-11,1.3295,1.3318,1.3272,1.3302,0
2024-09-12,1.3302,1.3325,1.3282,1.3312,0
2024-09-13,1.3312,1.3335,1.3292,1.3322,0
2024-09-16,1.3322,1.3345,1.3302,1.3332,0
2024-09-17,1.3332,1.3355,1.3312,1.3342,0
2024-09-18,1.3342,1.3368,1.3325,1.3355,0
2024-09-19,1.3355,1.3382,1.3338,1.3368,0
2024-09-20,1.3368,1.3395,1.3352,1.3382,0
2024-09-23,1.3382,1.3408,1.3365,1.3395,0
2024-09-24,1.3395,1.3422,1.3378,1.3408,0
2024-09-25,1.3408,1.3432,1.3388,1.3415,0
2024-09-26,1.3415,1.3438,1.3392,1.3405,0
2024-09-27,1.3405,1.3425,1.3378,1.3392,0
2024-09-30,1.3392,1.3412,1.3365,1.3378,0
2024-10-01,1.3378,1.3398,1.3352,1.3365,0
2024-10-02,1.3365,1.3385,1.3338,1.3352,0
2024-10-03,1.3352,1.3372,1.3325,1.3338,0
2024-10-04,1.3338,1.3358,1.3312,1.3325,0
2024-10-07,1.3325,1.3345,1.3298,1.3312,0
2024-10-08,1.3312,1.3332,1.3285,1.3298,0
2024-10-09,1.3298,1.3318,1.3272,1.3285,0
2024-10-10,1.3285,1.3305,1.3258,1.3272,0
2024-10-11,1.3272,1.3292,1.3245,1.3258,0
2024-10-14,1.3258,1.3278,1.3232,1.3245,0
2024-10-15,1.3245,1.3265,1.3218,1.3232,0
2024-10-16,1.3232,1.3252,1.3205,1.3218,0
2024-10-17,1.3218,1.3238,1.3192,1.3205,0
2024-10-18,1.3205,1.3225,1.3178,1.3192,0
2024-10-21,1.3192,1.3212,1.3165,1.3178,0
2024-10-22,1.3178,1.3198,1.3152,1.3165,0
2024-10-23,1.3165,1.3185,1.3138,1.3152,0
2024-10-24,1.3152,1.3172,1.3125,1.3138,0
2024-10-25,1.3138,1.3158,1.3112,1.3125,0
2024-10-28,1.3125,1.3145,1.3098,1.3112,0
2024-10-29,1.3112,1.3132,1.3085,1.3098,0
2024-10-30,1.3098,1.3118,1.3072,1.3085,0
2024-10-31,1.3085,1.3105,1.3058,1.3072,0
2024-11-01,1.3072,1.3092,1.3045,1.3058,0
2024-11-04,1.3058,1.3078,1.3032,1.3045,0
2024-11-05,1.3045,1.3065,1.3018,1.3032,0
2024-11-06,1.3032,1.3052,1.3005,1.3018,0
2024-11-07,1.3018,1.3038,1.2992,1.3005,0
2024-11-08,1.3005,1.3025,1.2978,1.2992,0
2024-11-11,1.2992,1.3012,1.2965,1.2978,0
2024-11-12,1.2978,1.2998,1.2952,1.2965,0
2024-11-13,1.2965,1.2985,1.2938,1.2952,0
2024-11-14,1.2952,1.2972,1.2925,1.2938,0
2024-11-15,1.2938,1.2958,1.2912,1.2925,0
2024-11-18,1.2925,1.2948,1.2905,1.2935,0
2024-11-19,1.2935,1.2958,1.2918,1.2948,0
2024-11-20,1.2948,1.2972,1.2932,1.2962,0
2024-11-21,1.2962,1.2985,1.2945,1.2975,0
2024-11-22,1.2975,1.2998,1.2958,1.2988,0
2024-11-25,1.2988,1.3012,1.2972,1.3002,0
2024-11-26,1.3002,1.3025,1.2985,1.3015,0
2024-11-27,1.3015,1.3038,1.2998,1.3028,0
2024-11-28,1.3028,1.3048,1.3008,1.3035,0
2024-11-29,1.3035,1.3058,1.3018,1.3048,0
2024-12-02,1.3048,1.3072,1.3032,1.3062,0
2024-12-03,1.3062,1.3085,1.3045,1.3075,0
2024-12-04,1.3075,1.3098,1.3058,1.3088,0
2024-12-05,1.3088,1.3112,1.3072,1.3102,0
2024-12-06,1.3102,1.3125,1.3085,1.3115,0
2024-12-09,1.3115,1.3138,1.3098,1.3128,0
2024-12-10,1.3128,1.3152,1.3112,1.3142,0
2024-12-11,1.3142,1.3165,1.3125,1.3155,0
2024-12-12,1.3155,1.3178,1.3138,1.3168,0
2024-12-13,1.3168,1.3192,1.3152,1.3182,0
2024-12-16,1.3182,1.3205,1.3165,1.3195,0
2024-12-17,1.3195,1.3218,1.3178,1.3208,0
2024-12-18,1.3208,1.3228,1.3188,1.3215,0
2024-12-19,1.3215,1.3235,1.3195,1.3208,0
2024-12-20,1.3208,1.3225,1.3185,1.3198,0
2024-12-23,1.3198,1.3215,1.3175,1.3188,0
2024-12-24,1.3188,1.3205,1.3165,1.3178,0
2024-12-26,1.3178,1.3195,1.3155,1.3168,0
2024-12-27,1.3168,1.3185,1.3145,1.3158,0
2024-12-30,1.3158,1.3175,1.3135,1.3148,0
2024-12-31,1.3148,1.3165,1.3125,1.3138,0
2025-01-02,1.3138,1.3158,1.3122,1.3148,0
2025-01-03,1.3148,1.3168,1.3132,1.3158,0
2025-01-06,1.3158,1.3178,1.3142,1.3168,0
2025-01-07,1.3168,1.3188,1.3152,1.3178,0
2025-01-08,1.3178,1.3198,1.3162,1.3188,0
2025-01-09,1.3188,1.3208,1.3172,1.3198,0
2025-01-10,1.3198,1.3218,1.3182,1.3208,0
2025-01-13,1.3208,1.3228,1.3192,1.3218,0
2025-01-14,1.3218,1.3238,1.3202,1.3228,0
2025-01-15,1.3228,1.3248,1.3212,1.3238,0
2025-01-16,1.3238,1.3258,1.3222,1.3248,0
2025-01-17,1.3248,1.3268,1.3232,1.3258,0
2025-01-20,1.3258,1.3278,1.3242,1.3268,0
2025-01-21,1.3268,1.3288,1.3252,1.3278,0
2025-01-22,1.3278,1.3298,1.3262,1.3288,0
2025-01-23,1.3288,1.3308,1.3272,1.3298,0
2025-01-24,1.3298,1.3318,1.3282,1.3308,0
2025-01-27,1.3308,1.3328,1.3292,1.3318,0
