Date,Open,High,Low,Close,Volume
2024-07-01,160.85,161.25,160.65,161.05,0
2024-07-02,161.05,161.48,160.88,161.35,0
2024-07-03,161.35,161.78,161.18,161.65,0
2024-07-05,161.65,162.05,161.45,161.92,0
2024-07-08,161.92,162.32,161.72,162.15,0
2024-07-09,162.15,162.55,161.95,162.42,0
2024-07-10,162.42,162.82,162.22,162.68,0
2024-07-11,162.68,163.08,162.48,162.95,0
2024-07-12,162.95,163.35,162.75,163.18,0
2024-07-15,163.18,163.55,162.95,163.35,0
2024-07-16,163.35,163.72,163.12,163.52,0
2024-07-17,163.52,163.88,163.28,163.68,0
2024-07-18,163.68,164.02,163.42,163.82,0
2024-07-19,163.82,164.15,163.55,163.95,0
2024-07-22,163.95,164.28,163.68,164.08,0
2024-07-23,164.08,164.42,163.82,164.22,0
2024-07-24,164.22,164.55,163.95,164.35,0
2024-07-25,164.35,164.68,164.08,164.48,0
2024-07-26,164.48,164.82,164.22,164.62,0
2024-07-29,164.62,164.95,164.35,164.75,0
2024-07-30,164.75,165.08,164.48,164.88,0
2024-07-31,164.88,165.22,164.62,165.02,0
2024-08-01,165.02,165.35,164.75,165.15,0
2024-08-02,165.15,165.48,164.88,165.28,0
2024-08-05,165.28,165.62,165.02,165.42,0
2024-08-06,165.42,165.75,165.15,165.55,0
2024-08-07,165.55,165.88,165.28,165.68,0
2024-08-08,165.68,166.02,165.42,165.82,0
2024-08-09,165.82,166.15,165.55,165.95,0
2024-08-12,165.95,166.28,165.68,166.08,0
2024-08-13,166.08,166.42,165.82,166.22,0
2024-08-14,166.22,166.55,165.95,166.35,0
2024-08-15,166.35,166.68,166.08,166.48,0
2024-08-16,166.48,166.82,166.22,166.62,0
2024-08-19,166.62,166.95,166.35,166.75,0
2024-08-20,166.75,167.08,166.48,166.88,0
2024-08-21,166.88,167.22,166.62,167.02,0
2024-08-22,167.02,167.35,166.75,167.15,0
2024-08-23,167.15,167.48,166.88,167.28,0
2024-08-26,167.28,167.62,167.02,167.42,0
2024-08-27,167.42,167.75,167.15,167.55,0
2024-08-28,167.55,167.88,167.28,167.68,0
2024-08-29,167.68,168.02,167.42,167.82,0
2024-08-30,167.82,168.15,167.55,167.95,0
2024-09-02,167.95,168.28,167.68,168.08,0
2024-09-03,168.08,168.42,167.82,168.22,0
2024-09-04,168.22,168.55,167.95,168.15,0
2024-09-05,168.15,168.45,167.82,167.98,0
2024-09-06,167.98,168.28,167.62,167.78,0
2024-09-09,167.78,168.08,167.42,167.58,0
2024-09-10,167.58,167.88,167.22,167.38,0
2024-09-11,167.38,167.72,167.08,167.52,0
2024-09-12,167.52,167.88,167.25,167.72,0
2024-09-13,167.72,168.08,167.45,167.92,0
2024-09-16,167.92,168.28,167.65,168.12,0
2024-09-17,168.12,168.48,167.85,168.32,0
2024-09-18,168.32,168.72,168.08,168.55,0
2024-09-19,168.55,168.95,168.32,168.78,0
2024-09-20,168.78,169.18,168.55,169.02,0
2024-09-23,169.02,169.42,168.78,169.25,0
2024-09-24,169.25,169.65,169.02,169.48,0
2024-09-25,169.48,169.85,169.22,169.58,0
2024-09-26,169.58,169.92,169.28,169.45,0
2024-09-27,169.45,169.78,169.12,169.28,0
2024-09-30,169.28,169.58,168.95,169.12,0
2024-10-01,169.12,169.42,168.78,168.95,0
2024-10-02,168.95,169.25,168.62,168.78,0
2024-10-03,168.78,169.08,168.45,168.62,0
2024-10-04,168.62,168.92,168.28,168.45,0
2024-10-07,168.45,168.75,168.12,168.28,0
2024-10-08,168.28,168.58,167.95,168.12,0
2024-10-09,168.12,168.42,167.78,167.95,0
2024-10-10,167.95,168.25,167.62,167.78,0
2024-10-11,167.78,168.08,167.45,167.62,0
2024-10-14,167.62,167.92,167.28,167.45,0
2024-10-15,167.45,167.75,167.12,167.28,0
2024-10-16,167.28,167.58,166.95,167.12,0
2024-10-17,167.12,167.42,166.78,166.95,0
2024-10-18,166.95,167.25,166.62,166.78,0
2024-10-21,166.78,167.08,166.45,166.62,0
2024-10-22,166.62,166.92,166.28,166.45,0
2024-10-23,166.45,166.75,166.12,166.28,0
2024-10-24,166.28,166.58,165.95,166.12,0
2024-10-25,166.12,166.42,165.78,165.95,0
2024-10-28,165.95,166.25,165.62,165.78,0
2024-10-29,165.78,166.08,165.45,165.62,0
2024-10-30,165.62,165.92,165.28,165.45,0
2024-10-31,165.45,165.75,165.12,165.28,0
2024-11-01,165.28,165.58,164.95,165.12,0
2024-11-04,165.12,165.42,164.78,164.95,0
2024-11-05,164.95,165.25,164.62,164.78,0
2024-11-06,164.78,165.08,164.45,164.62,0
2024-11-07,164.62,164.92,164.28,164.45,0
2024-11-08,164.45,164.75,164.12,164.28,0
2024-11-11,164.28,164.58,163.95,164.12,0
2024-11-12,164.12,164.42,163.78,163.95,0
2024-11-13,163.95,164.25,163.62,163.78,0
2024-11-14,163.78,164.08,163.45,163.62,0
2024-11-15,163.62,163.92,163.28,163.45,0
2024-11-18,163.45,163.78,163.15,163.58,0
2024-11-19,163.58,163.92,163.32,163.75,0
2024-11-20,163.75,164.08,163.48,163.92,0
2024-11-21,163.92,164.25,163.65,164.08,0
2024-11-22,164.08,164.42,163.82,164.25,0
2024-11-25,164.25,164.58,163.98,164.42,0
2024-11-26,164.42,164.75,164.15,164.58,0
2024-11-27,164.58,164.92,164.32,164.75,0
2024-11-28,164.75,165.05,164.48,164.88,0
2024-11-29,164.88,165.18,164.62,165.02,0
2024-12-02,165.02,165.35,164.78,165.18,0
2024-12-03,165.18,165.52,164.95,165.35,0
2024-12-04,165.35,165.68,165.12,165.52,0
2024-12-05,165.52,165.85,165.28,165.68,0
2024-12-06,165.68,166.02,165.45,165.85,0
2024-12-09,165.85,166.18,165.62,166.02,0
2024-12-10,166.02,166.35,165.78,166.18,0
2024-12-11,166.18,166.52,165.95,166.35,0
2024-12-12,166.35,166.68,166.12,166.52,0
2024-12-13,166.52,166.85,166.28,166.68,0
2024-12-16,166.68,167.02,166.45,166.85,0
2024-12-17,166.85,167.18,166.62,167.02,0
2024-12-18,167.02,167.32,166.75,167.12,0
2024-12-19,167.12,167.42,166.85,167.02,0
2024-12-20,167.02,167.28,166.72,166.88,0
2024-12-23,166.88,167.15,166.58,166.75,0
2024-12-24,166.75,167.02,166.45,166.62,0
2024-12-26,166.62,166.88,166.32,166.48,0
2024-12-27,166.48,166.75,166.18,166.35,0
2024-12-30,166.35,166.62,166.05,166.22,0
2024-12-31,166.22,166.48,165.92,166.08,0
2025-01-02,166.08,166.38,165.82,166.22,0
2025-01-03,166.22,166.52,165.98,166.38,0
2025-01-06,166.38,166.68,166.15,166.52,0
2025-01-07,166.52,166.82,166.28,166.68,0
2025-01-08,166.68,166.98,166.45,166.82,0
2025-01-09,166.82,167.12,166.58,166.98,0
2025-01-10,166.98,167.28,166.75,167.12,0
2025-01-13,167.12,167.42,166.88,167.28,0
2025-01-14,167.28,167.58,167.05,167.42,0
2025-01-15,167.42,167.72,167.18,167.58,0
2025-01-16,167.58,167.88,167.35,167.72,0
2025-01-17,167.72,168.02,167.48,167.88,0
2025-01-20,167.88,168.18,167.65,168.02,0
2025-01-21,168.02,168.32,167.78,168.18,0
2025-01-22,168.18,168.48,167.95,168.32,0
2025-01-23,168.32,168.62,168.08,168.48,0
2025-01-24,168.48,168.78,168.25,168.62,0
2025-01-27,168.62,168.92,168.38,168.78,0
